iter	Logloss
0	0.6527006333
1	0.6193492582
2	0.5941794087
3	0.5733124318
4	0.5577082274
5	0.544840432
6	0.5344679241
7	0.5260777687
8	0.5192146161
9	0.5134674289
10	0.5087981923
11	0.505114313
12	0.5023427495
13	0.4992629232
14	0.4973913142
15	0.4958819117
16	0.494266672
17	0.4928652288
18	0.4920587927
19	0.4912479823
20	0.4899403092
21	0.4888487408
22	0.48791994
23	0.4865152743
24	0.4855931768
25	0.4845446471
26	0.483868201
27	0.4832885821
28	0.4830123767
29	0.4821763826
30	0.4818188859
31	0.4811970781
32	0.4806806037
33	0.4803830782
34	0.4801371216
35	0.4796702911
36	0.4792424215
37	0.4788932897
38	0.4785286379
39	0.4781371406
40	0.4775371001
41	0.4771287556
42	0.4764431198
43	0.4760803566
44	0.4758222354
45	0.4754741719
46	0.4751428287
47	0.4746673704
48	0.4743919458
49	0.4740113411
50	0.473536487
51	0.4733503467
52	0.4731478831
53	0.4726780482
54	0.4724564251
55	0.4719754007
56	0.4717673391
57	0.4715261112
58	0.4713249407
59	0.4710243794
60	0.4708134409
61	0.4704971597
62	0.4703583889
63	0.470221597
64	0.4699190243
65	0.4697334568
66	0.4694486113
67	0.4688954348
68	0.4687226127
69	0.4685566776
70	0.4682370577
71	0.468029938
72	0.4677554797
73	0.4675856353
74	0.4674074463
75	0.4672112643
76	0.4670442778
77	0.4669744768
78	0.4666111324
79	0.466300192
80	0.4660671312
81	0.4658064326
82	0.4655221637
83	0.4653544621
84	0.4651758751
85	0.4649810773
86	0.4647385394
87	0.4645179957
88	0.4642869141
89	0.4640721589
90	0.4638385636
91	0.4634890246
92	0.4632523784
93	0.4630737218
94	0.4626863565
95	0.4624521675
96	0.4621539816
97	0.4619272619
98	0.4616319519
99	0.4613564465
100	0.4611095384
101	0.4608303953
102	0.4604467449
103	0.4602786255
104	0.45989524
105	0.4597820325
106	0.459443781
107	0.4590710737
108	0.4588533431
109	0.4587048276
110	0.4584398977
111	0.4579997318
112	0.4577689483
113	0.4574561733
114	0.4572562219
115	0.45692325
116	0.4566877331
117	0.4565091159
118	0.4563318249
119	0.4562126779
120	0.4559263104
121	0.4556382511
122	0.455385408
123	0.4551782125
124	0.4549828082
125	0.4547860975
126	0.4545766212
127	0.4544266351
128	0.4541431936
129	0.4540022252
130	0.4536540117
131	0.4533200712
132	0.4529329194
133	0.4527572049
134	0.4525708335
135	0.4523590417
136	0.4520739594
137	0.4517538047
138	0.4515314118
139	0.45130759
140	0.4511890774
141	0.4509455165
142	0.4507547115
143	0.4503640896
144	0.4500151235
145	0.4497855904
146	0.4496141308
147	0.4493093846
148	0.4490265915
149	0.4487531305
150	0.4485341071
151	0.4483208947
152	0.4481289763
153	0.4478693869
154	0.4476819606
155	0.4473792318
156	0.4471743587
157	0.4469940538
158	0.4467518271
159	0.4464844875
160	0.4463385242
161	0.4460738399
162	0.4458779814
163	0.4456836495
164	0.4454080413
165	0.4452615704
166	0.4450402373
167	0.4446768074
168	0.4444241324
169	0.4442116365
170	0.4439620928
171	0.4437627073
172	0.4436285314
173	0.4433877454
174	0.4431378784
175	0.4429349579
176	0.4427288714
177	0.4425528452
178	0.4423855752
179	0.4422696991
180	0.4420775704
181	0.4419829771
182	0.4417038463
183	0.4415289688
184	0.4412733548
185	0.4410291895
186	0.4407640766
187	0.4406253899
188	0.4404112507
189	0.4401635542
190	0.439972029
191	0.4398521003
192	0.4396976295
193	0.4395960237
194	0.4394601416
195	0.439330037
196	0.4390125328
197	0.4389147572
198	0.4387402639
199	0.438504396
200	0.4384329626
201	0.4382590154
202	0.438081557
203	0.437781028
204	0.4375793976
205	0.4373683667
206	0.4371444195
207	0.436893359
208	0.436675918
209	0.4365416103
210	0.4363024342
211	0.4360956612
212	0.4358475191
213	0.4357069186
214	0.4354882488
215	0.4352673303
216	0.4350299143
217	0.4348868792
218	0.4346625719
219	0.4345198321
220	0.4343538307
221	0.4342072699
222	0.434023221
223	0.4338136237
224	0.4336216658
225	0.4334525754
226	0.4333040695
227	0.433129329
228	0.4330064205
229	0.4327914487
230	0.4326556023
231	0.4324317999
232	0.4322113856
233	0.432068901
234	0.4318751093
235	0.4317495714
236	0.4316580321
237	0.431497975
238	0.431234531
239	0.4310802024
240	0.4309660198
241	0.43087218
242	0.4306837722
243	0.4305240938
244	0.4302726357
245	0.4300279976
246	0.4297706728
247	0.4296644733
248	0.4295927423
249	0.429358167
250	0.4292192584
251	0.4290251445
252	0.4289036705
253	0.4287761225
254	0.4285909326
255	0.4284737947
256	0.4283468183
257	0.4281829006
258	0.4280494373
259	0.4278745435
260	0.4277746265
261	0.4276428119
262	0.427495753
263	0.4274131506
264	0.4273115254
265	0.4271990237
266	0.4269716249
267	0.4267282975
268	0.4265620071
269	0.4263998483
270	0.4262182082
271	0.4260438595
272	0.4258314766
273	0.4256113943
274	0.4254491994
275	0.4252236822
276	0.4250259479
277	0.4248738891
278	0.4247234725
279	0.4245852982
280	0.4244213731
281	0.4243126813
282	0.4242143373
283	0.4240242115
284	0.4238771531
285	0.4238039332
286	0.4236011455
287	0.4234138475
288	0.4231942992
289	0.4231300852
290	0.4229241229
291	0.4227438663
292	0.4225863171
293	0.4224685166
294	0.4223698421
295	0.4222829271
296	0.4221687789
297	0.4220876218
298	0.4220115751
299	0.4218158781
