iter	Passed	Remaining
400	14557	3594
401	14586	3555
402	14627	3520
403	14660	3483
404	14698	3447
405	14731	3410
406	14768	3374
407	14803	3338
408	14836	3301
409	14874	3265
410	14914	3229
411	14948	3192
412	14982	3156
413	15014	3119
414	15052	3083
415	15088	3046
416	15121	3009
417	15154	2972
418	15188	2936
419	15221	2899
420	15255	2862
421	15286	2825
422	15319	2788
423	15350	2751
424	15383	2714
425	15419	2678
426	15453	2641
427	15488	2605
428	15526	2569
429	15565	2533
430	15602	2497
431	15639	2461
432	15672	2425
433	15709	2388
434	15741	2352
435	15773	2315
436	15809	2279
437	15845	2242
438	15881	2206
439	15917	2170
440	15948	2133
441	15986	2097
442	16023	2061
443	16073	2027
444	16106	1990
445	16137	1953
446	16173	1917
447	16208	1881
448	16241	1844
449	16283	1809
450	16323	1773
451	16358	1737
452	16400	1701
453	16435	1665
454	16468	1628
455	16503	1592
456	16537	1556
457	16570	1519
458	16621	1484
459	16660	1448
460	16693	1412
461	16731	1376
462	16768	1339
463	16802	1303
464	16835	1267
465	16874	1231
466	16908	1194
467	16945	1158
468	16979	1122
469	17013	1085
470	17049	1049
471	17082	1013
472	17116	977
473	17152	940
474	17186	904
475	17219	868
476	17255	832
477	17287	795
478	17328	759
479	17364	723
480	17398	687
481	17430	650
482	17460	614
483	17493	578
484	17549	542
485	17587	506
486	17622	470
487	17661	434
488	17699	398
489	17735	361
490	17771	325
491	17814	289
492	17852	253
493	17884	217
494	17918	180
495	17952	144
496	17988	108
497	18024	72
498	18060	36
499	18098	0
